"provname","llik_FOI","llik_age","llik_sigma","llik_sigma_age","AIC_FOI","AIC_age","AIC_sigma","AIC_sigma_age"
"Banteay Meanchey",11856.5504159386,7651.20328585266,11368.2350015399,7142.9691266184,23785.1008318772,15412.4065717053,22846.4700030798,14433.9382532368
"Battambang",4371.02775418427,2938.03395754285,4251.87000230732,2802.97762921901,8810.05550836854,5982.06791508569,8609.74000461464,5749.95525843802
"Kampong Cham",6869.9867066532,3926.58588015771,6818.3397699719,3855.02861491651,13805.9734133064,7957.17176031542,13740.6795399438,7852.05722983302
"Kampong Chhnang",3537.93944003033,2434.77079636628,3521.89086035335,2406.79139877242,7141.87888006066,4973.54159273255,7147.7817207067,4955.58279754485
"Kampong Speu",4819.9690745594,3347.90357293263,4699.89422968994,3214.06068491985,9705.9381491188,6799.80714586526,9503.78845937988,6570.12136983971
"Kampong Thom",6893.74880302611,4041.34280474363,6893.58448948199,4023.49188866109,13861.4976060522,8194.68560948727,13899.168978964,8196.98377732219
"Kampot",2517.37657106445,1798.96414469559,2528.2357189141,1806.68138333109,5110.7531421289,3711.92828939118,5170.4714378282,3765.36276666218
"Kandal",11439.1276283716,6897.15658586569,11429.3812919255,6849.21496048099,22946.2552567432,13900.3131717314,22964.7625838511,13842.429920962
"Kep",601.714462508901,552.329307543035,603.837007425259,553.100913889375,1269.4289250178,1208.65861508607,1311.67401485052,1248.20182777875
"Koh Kong",1134.5619712253,1072.91651863068,1141.30039927338,1079.09779932168,2331.1239424506,2245.83303726137,2382.60079854676,2296.19559864337
"Kratie",2261.874742191,1900.98137344185,2213.56772335334,1850.6264941149,4597.749484382,3913.9627468837,4539.13544670668,3851.2529882298
"Mondul Kiri",1053.15446399903,1773.97542187259,1044.89226194507,1784.69956417925,2170.30892799806,3649.95084374519,2191.78452389014,3709.3991283585
"National",131113.732665361,65742.8126091986,129402.44480369,63719.8195683782,262307.465330722,131603.625218397,258922.889607381,127595.639136756
"Otdar Meanchey",2471.59915082424,1771.69006543298,2414.95833413286,1711.32281813889,5003.19830164848,3641.38013086596,4927.91666826573,3558.64563627777
"Pailin",1197.24636524279,1245.31790206176,1182.55187876206,1227.33125876181,2444.49273048558,2578.63580412352,2453.10375752411,2580.66251752361
"Phnom Penh",11808.8778281788,8692.96874998542,11982.5164654689,8838.16332118566,23689.7556563576,17495.9374999708,24075.0329309378,17824.3266423713
"Preah Sihanouk",9385.56353274123,8208.26895253901,9214.05250322013,8045.02318752152,18833.1270654825,16516.537905078,18528.1050064403,16228.046375043
"Preah Vihear",4206.25346264621,3732.63332121953,4105.43654300695,3632.29812291911,8476.50692529242,7567.26664243906,8312.87308601389,7404.59624583822
"Prey Veng",5002.71906737776,3080.30590547584,5012.52577263803,3079.07380431258,10077.4381347555,6270.61181095168,10135.0515452761,6306.14760862517
"Pursat",1904.24587275083,1688.96669714968,1845.23463682431,1627.38053870688,3872.49174550166,3479.93339429937,3792.46927364861,3394.76107741375
"Ratanak Kiri",1756.46990572466,1848.41990937537,1693.2883078634,1784.55307600237,3568.93981144932,3790.83981875075,3480.5766157268,3701.10615200474
"Siem Reap",13292.2174395052,5144.11021854277,13265.289688481,5095.5164240906,26652.4348790104,10394.2204370855,26636.5793769621,10335.0328481812
"Stung Treng",1292.25990061992,1229.90159979325,1278.17961700709,1219.45126767549,2650.51980123984,2563.80319958651,2660.35923401418,2580.90253535098
"Svay Rieng",6286.97797482705,5162.89644639979,6156.67337866657,5027.94321744142,12639.9559496541,10429.7928927996,12417.3467573331,10197.8864348828
"Takeo",4005.98877113262,2749.12306426939,4016.53959618368,2749.84199196139,8091.97754226524,5616.24612853878,8151.07919236735,5655.68398392277
"Tboung Khmum",3414.12275004438,6341.3836938989,3028.63484741321,6237.33311424967,6938.24550008876,12830.7673877978,6205.26969482643,12660.6662284993
