"accession_num","tip_name","DENV.serotype","date","country","NIH.ID","lat","long","DENV.subtype"
"FJ639669","FJ639669_2000-07-31","DENV-1",2000-07-31,"Cambodia",NA,NA,NA,NA
"FJ639670","FJ639670_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"FJ639671","FJ639671_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"FJ639672","FJ639672_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"FJ639673","FJ639673_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"FJ639697","FJ639697_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"GQ868637","GQ868637_2000-07-31","DENV-1",2000-07-31,"Cambodia",NA,NA,NA,NA
"GU131887","GU131887_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131889","GU131889_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131890","GU131890_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131891","GU131891_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131893","GU131893_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"GU131895","GU131895_2009-07-31","DENV-1",2009-07-31,"Cambodia",NA,NA,NA,NA
"GU131896","GU131896_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"GU131897","GU131897_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"GU131919","GU131919_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"GU131920","GU131920_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"GU131922","GU131922_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"GU131925","GU131925_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131926","GU131926_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"GU131928","GU131928_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"HM181936","HM181936_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"HM181937","HM181937_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"HM181938","HM181938_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"HM181940","HM181940_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"HM181942","HM181942_2006-07-31","DENV-1",2006-07-31,"Cambodia",NA,NA,NA,NA
"HM181944","HM181944_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"HM181947","HM181947_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"HM181950","HM181950_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"HM181951","HM181951_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"HM181953","HM181953_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"HM181955","HM181955_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"JF730044","JF730044_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"JF730045","JF730045_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"JF730046","JF730046_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"JF730047","JF730047_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"JF730048","JF730048_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"JN819423","JN819423_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"KF921930","KF921930_2002-07-31","DENV-1",2002-07-31,"Cambodia",NA,NA,NA,NA
"KF921931","KF921931_2003-07-31","DENV-1",2003-07-31,"Cambodia",NA,NA,NA,NA
"KF921932","KF921932_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"KF955406","KF955406_2001-07-31","DENV-1",2001-07-31,"Cambodia",NA,NA,NA,NA
"KF955444","KF955444_2007-07-31","DENV-1",2007-07-31,"Cambodia",NA,NA,NA,NA
"KU509260","KU509260_2008-07-31","DENV-1",2008-07-31,"Cambodia",NA,NA,NA,NA
"MW265664","MW265664_2016-04-06","DENV-1",2016-04-06,"Cambodia",NA,NA,NA,NA
"MW265665","MW265665_2016-08-07","DENV-1",2016-08-07,"Cambodia",NA,NA,NA,NA
"MW265666","MW265666_2016-08-22","DENV-1",2016-08-22,"Cambodia",NA,NA,NA,NA
"MW265667","MW265667_2016-02-09","DENV-1",2016-02-09,"Cambodia",NA,NA,NA,NA
"MW265668","MW265668_2011-05-23","DENV-1",2011-05-23,"Cambodia",NA,NA,NA,NA
"MW265669","MW265669_2011-02-06","DENV-1",2011-02-06,"Cambodia",NA,NA,NA,NA
"MW265670","MW265670_2012-01-19","DENV-1",2012-01-19,"Cambodia",NA,NA,NA,NA
"MW265671","MW265671_2012-04-29","DENV-1",2012-04-29,"Cambodia",NA,NA,NA,NA
"MW265672","MW265672_2013-01-28","DENV-1",2013-01-28,"Cambodia",NA,NA,NA,NA
"MW265673","MW265673_2014-05-22","DENV-1",2014-05-22,"Cambodia",NA,NA,NA,NA
"MW265674","MW265674_2014-06-25","DENV-1",2014-06-25,"Cambodia",NA,NA,NA,NA
"MW265675","MW265675_2014-08-07","DENV-1",2014-08-07,"Cambodia",NA,NA,NA,NA
"MW265676","MW265676_2014-11-25","DENV-1",2014-11-25,"Cambodia",NA,NA,NA,NA
"MW265677","MW265677_2015-06-19","DENV-1",2015-06-19,"Cambodia",NA,NA,NA,NA
"MW265678","MW265678_2015-09-28","DENV-1",2015-09-28,"Cambodia",NA,NA,NA,NA
"MW265679","MW265679_2015-10-06","DENV-1",2015-10-06,"Cambodia",NA,NA,NA,NA
"OK159947","OK159947_2019-08-15","DENV-1",2019-08-15,"Cambodia","109-0074",NA,NA,"DENV-1"
"OL411495","OL411495_2020-07-15","DENV-1",2020-07-15,"Cambodia","109-0316",NA,NA,"DENV-1-clade-2"
"OL414728","OL414728_2019-07-15","DENV-1",2019-07-15,"Cambodia","109-0023",NA,NA,"Asian-1"
"OM033409","OM033409_2019-09-15","DENV-1",2019-09-15,"Cambodia",NA,NA,NA,NA
